Electronic Cash Ledger

,,,,,,GSTIN,33AAECJ2801P1ZK,
,,,,,,Name(Legal),JOBBOSS AUTOMATION PRIVATE LIMITED,
,,,,,,From,01/04/2025,
,,,,,,To,01/04/2026
Sr.No,Date  of deposit/Debit ,Time of deposit,Reporting date (by bank),Reference No.,Tax Period if applicable,Description,Transaction Type (Debit/Credit),Integrated Tax Amount Debited / Credited,,,,,,Central Tax Amount Debited / Credited,,,,,,State Tax Amount Debited / Credited,,,,,,CESS Amount Debited / Credited,,,,,,Integrated Tax Balance,,,,,,Central Tax Balance,,,,,,State Tax Balance,,,,,,CESS Balance
,,,,,,,,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total
"1",""-,"-","-","-","-","Opening Balance","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2",""19/04/2025,"18:08:31","19/04/2025","723521231","-","Amount deposited","Credit","12.00","0.00","0.00","0.00","0.00","12.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","12","0","0","0","0","12","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"3",""19/04/2025,"18:11:59","19/04/2025","723521305","-","Amount deposited","Credit","252.00","0.00","0.00","0.00","0.00","252.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","264","0","0","0","0","264","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"4",""19/04/2025,"-","-","DC3304250344807","Mar-25","Reverse charge","Debit","12.00","0.00","0.00","0.00","0.00","12.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","252","0","0","0","0","252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"5",""20/05/2025,"19:29:26","20/05/2025","723895149","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","252","0","0","0","0","252","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"6",""21/05/2025,"-","-","DC3305250448537","Apr-25","Reverse charge","Debit","7.00","0.00","0.00","0.00","0.00","7.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","245","0","0","0","0","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7",""20/06/2025,"18:40:00","20/06/2025","724180310","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","0.00","0.00","0.00","0.00","0.00","0.00","245","0","0","0","0","245","12879","6","0","25","0","12910","12879","6","0","25","0","12910","0","0","0","0","0","0",
"8",""21/06/2025,"-","-","DC3306250442043","May-25","Other than reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","0.00","0.00","0.00","0.00","0.00","245","0","0","0","0","245","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"9",""21/06/2025,"-","-","DC3306250442043","May-25","Reverse charge","Debit","7.00","0.00","0.00","0.00","0.00","7.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"10",""21/07/2025,"10:50:47","21/07/2025","724408081","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","6","0","25","0","12910","12879","6","0","25","0","12910","0","0","0","0","0","0",
"11",""21/07/2025,"-","-","DC3307250491705","Jun-25","Other than reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"12",""21/07/2025,"-","-","DC3307250491705","Jun-25","Reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"13",""21/08/2025,"12:30:34","21/08/2025","BCY1RUC0TXUMBW","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","4,16,162.00","6.00","0.00","25.00","0.00","4,16,193.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","416162","6","0","25","0","416193","12879","6","0","25","0","12910","0","0","0","0","0","0",
"14",""21/08/2025,"-","-","DC3308250457748","Jul-25","Other than reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","4,03,283.00","6.00","0.00","25.00","0.00","4,03,314.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"15",""21/08/2025,"-","-","DC3308250457748","Jul-25","Reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"16",""19/09/2025,"15:53:00","19/09/2025","915448304","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","205.00","0.00","25.00","0.00","13,109.00","12,879.00","6.00","0.00","25.00","0.00","12,910.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","205","0","25","0","13109","12879","6","0","25","0","12910","0","0","0","0","0","0",
"17",""19/09/2025,"-","-","DC3309250244124","Aug-25","Other than reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","0.00","205.00","0.00","25.00","0.00","230.00","0.00","6.00","0.00","25.00","0.00","31.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"18",""19/09/2025,"-","-","DC3309250244124","Aug-25","Reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"19",""15/10/2025,"18:46:18","15/10/2025","918684387","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"20",""16/10/2025,"-","-","DC3310250116501","Sep-25","Reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"21",""19/11/2025,"15:47:59","19/11/2025","BCY1INJ12R02JQ","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0",
"22",""20/11/2025,"-","-","DC3311250311029","Oct-25","Reverse charge","Debit","0.00","0.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","12,879.00","0.00","0.00","0.00","0.00","12,879.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"23",""16/12/2025,"16:55:36","16/12/2025","927233608","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,895.00","0.00","0.00","0.00","0.00","12,895.00","12,895.00","0.00","0.00","0.00","0.00","12,895.00","0.00","0.00","0.00","0.00","0.00","0.00","238","0","0","0","0","238","12895","0","0","0","0","12895","12895","0","0","0","0","12895","0","0","0","0","0","0",
"24",""17/12/2025,"-","-","DC3312250135415","Nov-25","Reverse charge","Debit","13.00","0.00","0.00","0.00","0.00","13.00","12,895.00","0.00","0.00","0.00","0.00","12,895.00","12,895.00","0.00","0.00","0.00","0.00","12,895.00","0.00","0.00","0.00","0.00","0.00","0.00","225","0","0","0","0","225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"25",""14/01/2026,"16:18:24","14/01/2026","931758867","-","Amount deposited","Credit","0.00","0.00","0.00","0.00","0.00","0.00","12,901.00","0.00","0.00","0.00","0.00","12,901.00","12,901.00","0.00","0.00","0.00","0.00","12,901.00","0.00","0.00","0.00","0.00","0.00","0.00","225","0","0","0","0","225","12901","0","0","0","0","12901","12901","0","0","0","0","12901","0","0","0","0","0","0",
