Electronic Credit Ledger

,,,GSTIN,33AALFV0081F1ZC,
,,,Legal Name,V.K.V REALTY,
,,,From,01/04/2025,
,,,To,31/03/2026
Sr.No,Date,Reference No.,Tax Period if any ,Description ,Transaction Type[Debit (DR) / Credit (CR)],,,Credit / Debit,,,,Balance Available
,,,,,,Integrated Tax,Central Tax,State Tax,CESS,Total,Integrated Tax,Central Tax,State Tax,CESS,Total
" -","-","-","-","Opening Balance","-","-","-","-","-","-","15599","23797","23798","0","63194",
" 1","15/04/2025","AA330325985742Z","Mar-25","ITC accrued through - Inputs","Credit","161","2932","2932","0","6025","15760","26729","26730","0","69219",
" 2","14/05/2025","AA3304258691545","Apr-25","ITC accrued through - Inputs","Credit","78","203","203","0","484","15838","26932","26933","0","69703",
" 3","16/06/2025","AA330525948847O","May-25","ITC accrued through - Inputs","Credit","83","2013","2013","0","4109","15921","28945","28946","0","73812",
" 4","14/07/2025","AA330625920033N","Jun-25","ITC accrued through - Inputs","Credit","1613","4756","4756","0","11125","17534","33701","33702","0","84937",
" 5","15/08/2025","AA330725986616N","Jul-25","ITC accrued through - Inputs","Credit","539","0","0","0","539","18073","33701","33702","0","85476",
" 6","16/09/2025","AB330825006171M","Aug-25","ITC accrued through - Inputs","Credit","560","2044","2044","0","4648","18633","35745","35746","0","90124",
" 7","15/10/2025","AB330925037252B","Sep-25","ITC accrued through - Inputs","Credit","1165","633","633","0","2431","19798","36378","36379","0","92555",
" 8","14/11/2025","AA331025917139F","Oct-25","ITC accrued through - Inputs","Credit","83","347","347","0","777","19881","36725","36726","0","93332",
" 9","15/12/2025","AA331125944434E","Nov-25","ITC accrued through - Inputs","Credit","447","1950","1950","0","4347","20328","38675","38676","0","97679",
" 10","14/01/2026","AB331225030456J","Dec-25","ITC accrued through - Inputs","Credit","5530","228","228","0","5986","25858","38903","38904","0","103665",
" 11","14/02/2026","AA330126995998E","Jan-26","ITC accrued through - Inputs","Credit","2974","1829","1829","0","6632","28832","40732","40733","0","110297",
" 12","14/03/2026","AA3302269877112","Feb-26","ITC accrued through - Inputs","Credit","2052","1260","1260","0","4572","30884","41992","41993","0","114869",
" -","-","-","-","Closing Balance","-","-","-","-","-","-","30884","41992","41993","0","114869",
