Electronic Liability Register

,,,,,,GSTIN,33AALFV0081F1ZC,
,,,,,,Legal Name,V.K.V REALTY,
,,,,,,TAX PERIOD,Apr-25 to Mar-26,

Sr.No,Date,Reference No.,Ledger Used For Discharging Liability ,Description,Transaction Type (Debit/Credit),Integrated Tax Amount Debited / Credited,,,,,,Central Tax Amount Debited / Credited,,,,,,State Tax Amount Debited / Credited,,,,,,CESS Amount Debited / Credited,,,,,,Integrated Tax Balance,,,,,,Central Tax Balance,,,,,,State TaxBalance,,,,,,CESS Balance
,,,,,,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total
"1","14/05/2025","AA3304258691545","-","Other than reverse charge","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"2","14/05/2025","AA3304258691545","-","Reverse charge and supplies made u/s 9(5)","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"3","16/06/2025","AA330525948847O","-","Other than reverse charge","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"4","16/06/2025","AA330525948847O","-","Reverse charge and supplies made u/s 9(5)","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"5","14/07/2025","AA330625920033N","-","Other than reverse charge","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"6","14/07/2025","AA330625920033N","-","Reverse charge and supplies made u/s 9(5)","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7","15/08/2025","AA330725986616N","-","Other than reverse charge","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"8","15/08/2025","AA330725986616N","-","Reverse charge and supplies made u/s 9(5)","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"9","16/09/2025","AB330825006171M","-","Other than reverse charge","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"10","16/09/2025","AB330825006171M","-","Reverse charge and supplies made u/s 9(5)","Debit","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
