Electronic Liability Register

,,,,,,GSTIN,33AAECJ2801P1ZK,
,,,,,,Legal Name,JOBBOSS AUTOMATION PRIVATE LIMITED,
,,,,,,TAX PERIOD,Apr-25 to Mar-26,

Sr.No,Date,Reference No.,Ledger Used For Discharging Liability ,Description,Transaction Type (Debit/Credit),Integrated Tax Amount Debited / Credited,,,,,,Central Tax Amount Debited / Credited,,,,,,State Tax Amount Debited / Credited,,,,,,CESS Amount Debited / Credited,,,,,,Integrated Tax Balance,,,,,,Central Tax Balance,,,,,,State TaxBalance,,,,,,CESS Balance
,,,,,,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total,Tax,Interest,Penalty,Fee,Others,Total
"1","21/05/2025","AB330425893768I","-","Other than reverse charge","Debit","139557","0","0","0","0","139557","205397","0","0","0","0","205397","205397","0","0","0","0","205397","0","0","0","0","0","0","139557","0","0","0","0","139557","205397","0","0","0","0","205397","205397","0","0","0","0","205397","0","0","0","0","0","0",
"2","21/05/2025","AB330425893768I","-","Reverse charge and supplies made u/s 9(5)","Debit","7","0","0","0","0","7","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0","139564","0","0","0","0","139564","218276","0","0","0","0","218276","218276","0","0","0","0","218276","0","0","0","0","0","0",
"3","21/05/2025","DC3305250448537","Cash","Reverse charge and supplies made u/s 9(5)","Credit","7","0","0","0","0","7","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0","139557","0","0","0","0","139557","205397","0","0","0","0","205397","205397","0","0","0","0","205397","0","0","0","0","0","0",
"4","21/05/2025","DI3305250533554","Credit","Other than reverse charge","Credit","139557","0","0","0","0","139557","205397","0","0","0","0","205397","205397","0","0","0","0","205397","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"5","21/06/2025","AB3305259067642","-","Other than reverse charge","Debit","54756","0","0","0","0","54756","642505","6","0","25","0","642536","642505","6","0","25","0","642536","0","0","0","0","0","0","54756","0","0","0","0","54756","642505","6","0","25","0","642536","642505","6","0","25","0","642536","0","0","0","0","0","0",
"6","21/06/2025","AB3305259067642","-","Reverse charge and supplies made u/s 9(5)","Debit","7","0","0","0","0","7","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0","54763","0","0","0","0","54763","655384","6","0","25","0","655415","655384","6","0","25","0","655415","0","0","0","0","0","0",
"7","21/06/2025","DC3306250442043","Cash","Other than reverse charge","Credit","0","0","0","0","0","0","0","6","0","25","0","31","0","6","0","25","0","31","0","0","0","0","0","0","54763","0","0","0","0","54763","655384","0","0","0","0","655384","655384","0","0","0","0","655384","0","0","0","0","0","0",
"8","21/06/2025","DC3306250442043","Cash","Reverse charge and supplies made u/s 9(5)","Credit","7","0","0","0","0","7","12879","0","0","0","0","12879","12879","0","0","0","0","12879","0","0","0","0","0","0","54756","0","0","0","0","54756","642505","0","0","0","0","642505","642505","0","0","0","0","642505","0","0","0","0","0","0",
"9","21/06/2025","DI3306250523527","Credit","Other than reverse charge","Credit","54756","0","0","0","0","54756","642505","0","0","0","0","642505","642505","0","0","0","0","642505","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"10","21/07/2025","AC3306250484742","-","Other than reverse charge","Debit","197469","0","0","0","0","197469","470322","6","0","25","0","470353","470322","6","0","25","0","470353","0","0","0","0","0","0","197469","0","0","0","0","197469","470322","6","0","25","0","470353","470322","6","0","25","0","470353","0","0","0","0","0","0",
